,PLAYER_ID,RANK,PLAYER,TEAM_ID,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,EFF,AST_TOV,STL_TOV,EFF_PER_GAME
150,1641709,151,Ausar Thompson,1610612765,DET,57,1280,242,447,0.541,11,47,0.234,85,134,0.634,110,182,292,132,98,38,79,162,580,807,1.67,1.24,14.157894736842104
151,1641731,152,Bilal Coulibaly,1610612764,WAS,59,1948,263,624,0.421,63,224,0.281,138,185,0.746,91,203,294,199,78,41,125,139,727,806,1.59,0.62,13.661016949152541
152,1626171,153,Bobby Portis,1610612749,MIL,46,1160,258,557,0.463,60,165,0.364,55,67,0.821,83,300,383,102,31,25,56,87,631,805,1.82,0.55,17.5
157,1628374,158,Lauri Markkanen,1610612762,UTA,47,1476,296,700,0.423,138,399,0.346,162,185,0.876,72,206,278,70,33,17,66,79,892,797,1.06,0.5,16.95744680851064
158,1627747,159,Caris LeVert,1610612737,ATL,61,1516,263,566,0.465,100,269,0.372,102,143,0.713,38,152,190,206,55,32,73,91,728,794,2.82,0.75,13.01639344262295
163,201143,164,Al Horford,1610612738,BOS,59,1631,190,451,0.421,111,308,0.36,34,38,0.895,78,280,358,128,35,50,44,80,525,787,2.91,0.8,13.338983050847459
164,203932,165,Aaron Gordon,1610612743,DEN,48,1344,235,445,0.528,71,157,0.452,135,168,0.804,70,162,232,156,20,12,69,79,676,784,2.26,0.29,16.333333333333332
165,1629627,166,Zion Williamson,1610612740,NOP,30,857,288,508,0.567,3,13,0.231,158,241,0.656,76,140,216,159,37,27,90,82,737,783,1.77,0.41,26.1
172,1628978,173,Donte DiVincenzo,1610612750,MIN,58,1502,229,554,0.413,159,409,0.389,49,62,0.79,30,186,216,213,71,16,90,103,666,754,2.37,0.79,13.0
181,202695,182,Kawhi Leonard,1610612746,LAC,34,1052,278,560,0.496,70,173,0.405,87,108,0.806,32,164,196,102,52,17,65,50,713,712,1.57,0.8,20.941176470588236
